Country,Stock,Year,D1
Argentina,CENTRAL PUERTO (~U$),2021,0.0853538377266954
Argentina,CENTRAL PUERTO (~U$),2022,0.0137588201139396
Argentina,COLORIN (~U$),2001,0.2159637345767247
Argentina,COLORIN (~U$),2002,0.8592448621125545
Argentina,COLORIN (~U$),2003,0.1313982382726853
Argentina,COLORIN (~U$),2004,0.5341055208504151
Argentina,COLORIN (~U$),2005,0.8165883862199571
Argentina,COLORIN (~U$),2006,0.957851294774
Argentina,COLORIN (~U$),2007,0.9865727915830064
Argentina,COLORIN (~U$),2008,0.0690173046397002
Argentina,COLORIN (~U$),2009,0.8930807939285266
Argentina,COLORIN (~U$),2010,0.5013597906750187
Argentina,COLORIN (~U$),2011,0.3599414898173425
Argentina,COLORIN (~U$),2012,0.4732760063352046
Argentina,COLORIN (~U$),2013,0.1888465561039681
Argentina,COLORIN (~U$),2014,0.2390742315860358
Argentina,COLORIN (~U$),2015,0.4352095977228521
Argentina,COLORIN (~U$),2016,0.3316531232529938
Argentina,COLORIN (~U$),2017,0.2823577286466432
Argentina,COLORIN (~U$),2018,0.1073627541896002
Argentina,COLORIN (~U$),2019,0.3851251825426732
Argentina,COLORIN (~U$),2020,0.8252141307314248
Argentina,COLORIN (~U$),2021,0.8124264696543486
Argentina,COLORIN (~U$),2022,0.8866080705926083
Argentina,CONSULTATIO (~U$),2008,0.2185021268231283
Argentina,CONSULTATIO (~U$),2009,0.2222551700659281
Argentina,CONSULTATIO (~U$),2010,0.7618956589070812
Argentina,CONSULTATIO (~U$),2011,0.169504449595007
Argentina,CONSULTATIO (~U$),2012,0.8672592465353139
Argentina,CONSULTATIO (~U$),2013,0.702028745324541
Argentina,CONSULTATIO (~U$),2014,0.1462630092092771
Argentina,CONSULTATIO (~U$),2015,0.1135925970576988
Argentina,CONSULTATIO (~U$),2016,0.1484648161330783
Argentina,CONSULTATIO (~U$),2017,0.0438083561090818
Argentina,CONSULTATIO (~U$),2018,0.0933313210835407
Argentina,CONSULTATIO (~U$),2019,0.0499115932931425
Argentina,CONSULTATIO (~U$),2020,0.2094573604885008
Argentina,CONSULTATIO (~U$),2021,0.3097774919794802
Argentina,CONSULTATIO (~U$),2022,0.1724065783450873
Argentina,CRESUD (~U$),2001,0.2111430922484638
Argentina,CRESUD (~U$),2002,0.0949025728244946
Argentina,CRESUD (~U$),2003,0.1060140859263758
Argentina,CRESUD (~U$),2004,0.3139863410032568
Argentina,CRESUD (~U$),2005,0.0708310151420096
Argentina,CRESUD (~U$),2006,0.2043833993180197
