#NAME?,NIKKEI 225 STOCK AVERAGE - PRICE INDEX,MSCI JAPAN - PRICE INDEX,TOPIX - PRICE INDEX,MSCI HONG KONG - PRICE INDEX,S&P HONG KONG BMI - PRICE INDEX,HANG SENG - PRICE INDEX,KOREA SE KOSPI 200 - PRICE INDEX,MSCI KOREA - PRICE INDEX,KOREA SE COMPOSITE (KOSPI) - PRICE INDEX
11/3/1999,171.3,8.893,14.96,962.809,25.467,1706.22,0.09,0.184,0.74
11/4/1999,175.51,9.058,15.27,983.782,26.094,1756.85,0.09,0.19,0.77
11/5/1999,172.62,8.921,15.02,979.562,26.092,1751.53,0.09,0.19,0.77
11/8/1999,172.36,8.868,14.87,982.657,26,1739.79,0.09,0.189,0.77
11/9/1999,174.09,8.91,14.97,982.93,26.039,1758.88,0.1,0.196,0.8
11/10/1999,177.39,9.051,15.23,1002.523,26.554,1798.28,0.1,0.194,0.8
11/11/1999,174.71,8.968,15.09,1009.945,26.732,1815.05,0.1,0.195,0.81
11/12/1999,173.66,9.006,15.14,1027.379,27.004,1825.9,0.1,0.2,0.83
11/15/1999,173.39,8.983,15.14,1043.796,27.71,1873.61,0.1,0.198,0.83
11/16/1999,171.34,8.899,14.91,1058.844,28.079,1889.99,0.1,0.202,0.86
11/17/1999,173.16,9.034,15.08,1060.434,27.915,1891.86,0.1,0.195,0.82
11/18/1999,175.28,9.153,15.34,1061.511,27.981,1894.06,0.1,0.196,0.83
11/19/1999,174.95,9.212,15.47,1093.21,28.709,1939.19,0.1,0.202,0.85
11/22/1999,179.63,9.349,15.86,1100.786,28.978,1966.54,0.1,0.199,0.83
11/23/1999,180.74,9.407,15.96,1102.241,29.079,1980.52,0.1,0.199,0.83
11/24/1999,180.71,9.347,15.96,1092.497,28.759,1969.63,0.1,0.201,0.83
11/25/1999,179.41,9.256,15.8,1065.567,28.22,1930.01,0.1,0.2,0.84
11/26/1999,185.28,9.542,16.36,1088.286,28.647,1965.33,0.1,0.197,0.82
11/29/1999,184.95,9.57,16.54,1096.949,29.002,1989.6,0.1,0.201,0.83
11/30/1999,181.61,9.328,16.06,1093.14,29.003,1979.95,0.11,0.206,0.86
12/1/1999,180.95,9.279,15.76,1114.467,29.302,1984.98,0.11,0.209,0.86
12/2/1999,180.38,9.243,15.61,1139.635,29.863,2007.73,0.1,0.207,0.84
12/3/1999,179.32,9.279,15.73,1155.26,30.274,2037.97,0.1,0.206,0.84
12/6/1999,179.34,9.273,15.82,1180.865,30.982,2079.91,0.11,0.211,0.87
12/7/1999,181.46,9.34,15.93,1174.241,30.744,2067.67,0.11,0.211,0.88
12/8/1999,178.41,9.199,15.72,1176.653,30.811,2056.53,0.11,0.211,0.88
12/9/1999,177.59,9.22,15.67,1206.195,31.493,2105.54,0.11,0.206,0.87
12/10/1999,178.6,9.322,15.87,1206.128,31.442,2107.01,0.11,0.215,0.9
12/13/1999,176.46,9.186,15.66,1212.008,31.57,2114.74,0.11,0.211,0.9
12/14/1999,175.34,9.13,15.5,1192.246,31.231,2094.32,0.11,0.207,0.88
12/15/1999,175.31,9.18,15.59,1150.528,30.322,2035.46,0.1,0.199,0.85
12/16/1999,175.92,9.187,15.72,1138.14,30.098,2003.39,0.1,0.197,0.84
12/17/1999,175.12,9.274,15.81,1164.321,30.663,2056.86,0.1,0.197,0.84
12/20/1999,176.85,9.306,15.79,1183.644,31.068,2086.1,0.11,0.198,0.85
12/21/1999,177.13,9.319,15.85,1179.612,30.97,2091.03,0.11,0.196,0.85
12/22/1999,181.77,9.556,16.26,1174.399,30.866,2083.74,0.11,0.197,0.86
12/23/1999,181.32,9.532,16.22,1183.039,31.135,2097.65,0.11,0.197,0.86
12/24/1999,182.53,9.579,16.41,1206.633,31.868,2166.8,0.11,0.199,0.88
12/27/1999,181.71,9.518,16.24,1206.319,31.876,2166.23,0.11,0.193,0.89
12/28/1999,183.87,9.753,16.65,1201.854,32.022,2177.77,0.11,0.198,0.9
12/29/1999,184.38,9.848,16.78,1175.846,31.401,2143.83,0.11,0.198,0.9
12/30/1999,184.99,9.903,16.83,1187.549,31.805,2182.03,0.11,0.2,0.91
12/31/1999,184.99,9.903,16.83,1187.549,31.804,2182.03,0.11,0.2,0.91
1/3/2000,186.66,9.993,16.98,1204.67,32.614,2233.68,0.12,0.201,0.91
1/4/2000,184.52,9.83,16.68,1188.57,32.196,2195.19,0.12,0.217,0.94
1/5/2000,178.53,9.4,15.9,1107.44,30.081,2037.42,0.11,0.203,0.87
1/6/2000,172.62,9.043,15.29,1059.097,28.764,1948.24,0.11,0.196,0.84
1/7/2000,172.53,9.015,15.16,1079.308,29.239,1980.74,0.1,0.199,0.83
1/10/2000,172.69,9.023,15.18,1098.285,30.048,2037.46,0.11,0.206,0.87
1/11/2000,178.22,9.35,15.87,1097.432,30.169,2039.26,0.11,0.204,0.86
1/12/2000,176.47,9.246,15.65,1097.167,29.999,2020.22,0.1,0.202,0.83
1/13/2000,177.35,9.257,15.61,1097.725,29.862,2009.88,0.11,0.203,0.84
1/14/2000,178.8,9.312,15.55,1105.128,29.845,1998.06,0.11,0.205,0.84
1/17/2000,185.49,9.549,16.05,1100.478,29.815,2002.23,0.11,0.213,0.88
1/18/2000,181.97,9.407,15.79,1114.029,30.185,2029.77,0.11,0.21,0.87
1/19/2000,178.71,9.204,15.43,1077.877,29.393,1963.58,0.1,0.2,0.83
1/20/2000,180.25,9.22,15.49,1087.962,29.402,1956,0.11,0.204,0.84
1/21/2000,180.01,9.28,15.52,1075.295,29.298,1942.2,0.1,0.198,0.82
1/24/2000,180.44,9.309,15.6,1079.222,29.375,1949.7,0.1,0.198,0.82
